#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
レザーグラブ,0,1,0,0,0,1,2,38,2,0,0,0,0,,,,,,,,,,,鉄鉱石,1,,,,,,,68,龍脈石のかけら,1,ユニオン鉱石,3,0,10
チェーングラブ,0,1,0,0,0,1,2,38,0,2,0,0,0,,,,,,,,,,,鉄鉱石,1,,,,,,,68,龍脈石のかけら,1,ユニオン鉱石,3,0,20
ハンターアーム,0,1,0,0,0,1,6,42,2,2,0,0,0,潜伏,1,,,,,,,,,ジャグラスの皮,1,ジャグラスの鱗,1,,,,,72,龍脈石のかけら,1,ユニオン鉱石,3,0,30
ボーンアーム,0,1,0,0,0,1,6,42,2,0,2,0,2,ＫＯ術,1,,,,,,,,,竜骨【小】,3,ケストドンの甲殻,2,,,,,72,龍脈石のかけら,1,ユニオン鉱石,3,0,40
ランゴアーム,0,1,0,0,0,3,8,44,-2,1,1,1,2,麻痺属性強化,1,,,,,,,,,ランゴスタの羽,2,モンスターの体液,1,,,,,74,龍脈石のかけら,1,ユニオン鉱石,3,0,50
ケストガード,0,1,0,0,0,1,12,48,4,0,0,0,0,滑走強化,1,,,,,,,,,ケストドンの甲殻,6,ケストドンの頭殻,3,,,,,78,龍脈石のかけら,1,ユニオン鉱石,3,0,60
ジャグラスアーム,0,1,0,0,0,2,8,44,-2,2,-1,-1,1,オトモへの采配,1,,,,,,,,,賊竜の鱗,2,賊竜の皮,1,ジャグラスの皮,3,,,74,龍脈石のかけら,1,ユニオン鉱石,3,0,70
クルルアーム,0,1,0,0,0,2,10,46,0,-3,0,1,0,運搬の達人,1,,,,,,,,,掻鳥の鱗,2,掻鳥の皮,1,鉄鉱石,3,,,76,龍脈石のかけら,1,ユニオン鉱石,3,0,80
アロイアーム,0,2,0,0,0,3,8,40,-2,1,-2,-2,1,防御,1,,,,,,,,,マカライト鉱石,3,鉄鉱石,6,大地の結晶,1,,,66,龍脈石のかけら,1,ユニオン鉱石,3,0,90
プケプケアーム,0,2,0,0,0,2,12,44,0,3,-3,0,1,毒耐性,1,,,,,,,,,毒妖鳥の鱗,2,毒妖鳥の甲殻,1,毒袋,1,,,70,龍脈石のかけら,1,ユニオン鉱石,3,0,100
ボロスアーム,0,2,0,0,0,3,14,38,-3,-1,3,-1,0,ランナー,1,,,,,,,,,土砂竜の背甲,3,土砂竜の尻尾,1,土砂竜の頭殻,1,ケストドンの頭殻,1,72,龍脈石のかけら,1,ユニオン鉱石,3,0,110
ジュラアーム,0,2,0,0,0,3,14,46,-1,2,-3,0,0,水属性攻撃強化,1,,,,,,,,,泥魚竜の甲殻,2,泥魚竜の牙,1,咬魚のヒゲ,2,,,72,龍脈石のかけら,1,ユニオン鉱石,3,0,120
カガチアーム,0,2,0,0,0,4,16,48,0,-3,3,0,0,回避距離ＵＰ,1,,,,,,,,,飛雷竜の毛皮,2,飛雷竜の爪,1,飛雷竜の鱗,2,竜骨【中】,2,74,龍脈石のかけら,1,ユニオン鉱石,3,0,130
ハイメタアーム,0,3,0,0,0,6,18,46,0,-1,-2,3,0,防御,1,,,,,,,,,ドラグライト鉱石,2,マカライト鉱石,2,大地の結晶,2,とがった爪,2,70,龍脈石のかけら,1,ユニオン鉱石,3,0,140
オウビートマーノ,1,3,0,0,0,6,22,50,-1,-1,2,0,2,飛び込み,1,,,,,,,,,オオツノアゲハ,1,大地の結晶,2,深海の結晶,2,水袋,1,74,龍脈石のかけら,1,ユニオン鉱石,3,0,150
パピメルマーノ,2,3,0,0,0,6,22,50,-1,-1,2,0,2,飛び込み,1,,,,,,,,,オオツノアゲハ,1,大地の結晶,2,深海の結晶,2,水袋,1,74,龍脈石のかけら,1,ユニオン鉱石,3,0,160
タロスアーム,0,3,0,0,0,8,18,46,-1,-1,0,0,2,満足感,1,,,,,,,,,カンタロスの羽,1,カンタロスの甲殻,1,鉄鉱石,3,マカライト鉱石,1,70,龍脈石のかけら,1,ユニオン鉱石,3,0,170
ジャナフアーム,0,3,0,0,0,4,20,48,3,-3,-1,-1,0,特殊射撃強化,1,蛮顎竜の力,1,,,,,,,蛮顎竜の毛皮,2,蛮顎竜の鱗,2,蛮顎竜の鼻骨,1,竜骨【大】,2,72,龍脈石のかけら,1,ユニオン鉱石,3,0,180
レイアアーム,0,3,0,0,0,5,22,50,2,0,-2,0,-3,毒属性強化,1,,,,,,,,,雌火竜の甲殻,2,雌火竜の鱗,2,雌火竜の棘,1,竜骨【大】,2,74,龍脈石のかけら,1,ユニオン鉱石,3,0,190
ツィツィアーム,0,3,0,0,0,6,18,46,0,0,-3,-2,0,気絶耐性,1,,,,,,,,,眩鳥の皮,2,眩鳥の発光膜,1,眩鳥の鱗,3,深海の結晶,2,70,龍脈石のかけら,1,ユニオン鉱石,3,0,200
ウルムーアーム,0,3,0,0,0,6,20,48,-3,2,0,1,0,砲術,1,,,,,,,,,浮空竜の毛皮,2,浮空竜の鱗,1,浮空竜の翼膜,1,,,72,龍脈石のかけら,1,ユニオン鉱石,3,0,210
ギルオスアーム,0,3,0,0,0,8,20,48,0,-3,2,0,1,オトモへの采配,1,,,,,,,,,痺賊竜の鱗,2,痺賊竜の皮,1,ギルオスの麻痺牙,2,,,72,龍脈石のかけら,1,ユニオン鉱石,3,0,220
バルキンアーム,0,3,0,0,0,8,24,52,0,2,0,-1,-2,睡眠属性強化,1,,,,,,,,,骨鎚竜の鱗,2,骨鎚竜の甲殻,1,骨鎚竜の黒油殻,1,頑丈な骨,3,76,龍脈石のかけら,1,ユニオン鉱石,3,0,230
インゴットアーム,0,4,0,0,0,8,28,52,-2,0,3,-1,0,体力増強,1,,,,,,,,,ドラグライト鉱石,3,上竜骨,1,深海の結晶,3,ライトクリスタル,1,72,龍脈石のかけら,1,ユニオン鉱石,3,0,240
デスギアファオスト,0,4,0,0,0,8,32,56,3,2,-2,3,-4,集中,1,,,,,,,,,禍々しい布,1,いびつな狂骨,3,頑丈な骨,6,ライトクリスタル,1,76,龍脈石のかけら,1,ユニオン鉱石,3,0,250
ブリゲイドアーム,0,4,0,0,0,8,28,52,1,0,2,0,2,砲撃手,1,,,,,,,,,闘技王のコイン,2,プケプケコイン,2,クルルコイン,2,勇気の証,1,72,龍脈石のかけら,1,ユニオン鉱石,3,0,260
ギエナアーム,0,4,0,0,0,8,30,54,-1,2,-3,3,0,飛燕,1,風漂竜の恩恵,1,,,,,,,風漂竜の皮,2,風漂竜の鱗,2,風漂竜の尾膜,1,氷結袋,1,74,龍脈石のかけら,1,ユニオン鉱石,3,0,270
ガロンアーム,0,4,0,0,0,8,30,54,2,2,-2,-3,0,体術,1,惨爪竜の力,1,,,,,,,惨爪竜の硬筋,2,惨爪竜の鱗,2,惨爪竜の尻尾,1,カンタロスの羽,2,74,龍脈石のかけら,1,ユニオン鉱石,3,0,280
レウスアーム,0,4,0,0,0,8,30,54,3,1,-2,1,-3,火耐性,1,火竜の力,1,,,,,,,火竜の甲殻,2,火竜の翼膜,1,火炎袋,2,上竜骨,2,74,龍脈石のかけら,1,ユニオン鉱石,3,0,290
ディアブロアーム,0,4,0,0,0,8,32,56,3,-2,0,-3,2,火事場力,1,角竜の力,1,,,,,,,角竜の背甲,2,角竜の甲殻,2,角竜の尾甲,1,ライトクリスタル,1,76,龍脈石のかけら,1,ユニオン鉱石,3,0,300
キリンアームロング,0,4,0,0,0,8,34,58,-3,-2,4,-2,2,属性やられ耐性,1,幻獣の恩恵,1,,,,,,,幻獣の皮,3,幻獣のたてがみ,2,ゴム質の甲殻,2,ライトクリスタル,1,78,龍脈石のかけら,1,ユニオン鉱石,3,0,310
ブロッサムカフス,0,3,0,0,0,3,18,46,1,1,4,1,1,麻痺耐性,1,,,,,,,,,開花チケット,1,大地の結晶,1,,,,,70,龍脈石のかけら,1,ユニオン鉱石,3,0,320
ダイバーアーム,0,3,0,0,0,3,22,50,1,4,1,1,1,納刀術,1,,,,,,,,,納涼チケット,1,深海の結晶,1,,,,,74,龍脈石のかけら,1,ユニオン鉱石,3,0,330
ハーベストラーマ,0,3,0,0,0,6,26,54,4,1,1,1,1,逆恨み,1,,,,,,,,,豊穣チケット,1,頑丈な骨,1,,,,,78,龍脈石のかけら,1,ユニオン鉱石,3,0,340
オリオンアーム,0,4,0,0,0,8,30,54,1,1,1,4,1,風圧耐性,1,,,,,,,,,煌めきチケット,1,上竜骨,1,,,,,74,龍脈石のかけら,1,ユニオン鉱石,3,0,350
フルドレスカフス,0,4,0,0,0,8,34,58,1,1,1,1,4,渾身,1,アステラの祝福,1,,,,,,,感謝チケット,1,上竜骨,1,,,,,78,龍脈石のかけら,1,ユニオン鉱石,3,0,360
パピオムマーノ,1,3,0,0,0,4,22,50,-1,-1,2,0,2,見切り,1,,,,,,,,,昆虫図鑑【春】,1,オオツノアゲハ,1,ランゴスタの甲殻,1,モンスターの体液,1,74,龍脈石のかけら,1,ユニオン鉱石,3,0,370
クインビートマーノ,2,3,0,0,0,4,22,50,-1,-1,2,0,2,見切り,1,,,,,,,,,昆虫図鑑【春】,1,オオツノアゲハ,1,ランゴスタの甲殻,1,モンスターの体液,1,74,龍脈石のかけら,1,ユニオン鉱石,3,0,380
レザーグラブα,0,5,0,0,0,11,32,54,2,0,0,0,0,回復速度,1,,,,,,,,,カブレライト鉱石,2,上質な毛皮,1,,,,,70,龍脈石のかけら,1,いにしえの龍骨,1,0,390
