#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
レザーベスト,0,1,0,0,0,1,2,38,2,0,0,0,0,,,,,,,,,,,鉄鉱石,1,,,,,,,68,龍脈石のかけら,1,ユニオン鉱石,3,0,10
チェーンベスト,0,1,0,0,0,1,2,38,0,2,0,0,0,,,,,,,,,,,鉄鉱石,1,,,,,,,68,龍脈石のかけら,1,ユニオン鉱石,3,0,20
ハンターメイル,0,1,0,0,0,1,6,42,2,2,0,0,0,スリンガー装填数ＵＰ,1,,,,,,,,,ジャグラスの皮,2,竜骨【小】,2,,,,,72,龍脈石のかけら,1,ユニオン鉱石,3,0,30
ボーンメイル,0,1,0,0,0,1,6,42,2,0,2,0,2,攻撃,1,,,,,,,,,竜骨【小】,1,太古の大骨,1,,,,,72,龍脈石のかけら,1,ユニオン鉱石,3,0,40
ランゴメイル,0,1,0,0,0,3,8,44,-2,1,1,1,2,風圧耐性,1,,,,,,,,,ランゴスタの甲殻,1,マカライト鉱石,1,,,,,74,龍脈石のかけら,1,ユニオン鉱石,3,0,50
ジャグラスメイル,0,1,0,0,0,2,8,44,-2,2,-1,-1,1,威嚇,1,,,,,,,,,賊竜の皮,2,賊竜の爪,1,賊竜の鱗,2,竜骨【小】,3,74,龍脈石のかけら,1,ユニオン鉱石,3,0,60
クルルメイル,0,1,0,0,0,2,10,46,0,-3,0,1,0,スタミナ急速回復,1,,,,,,,,,掻鳥の皮,2,掻鳥の飾り羽,1,掻鳥のクチバシ,1,マカライト鉱石,2,76,龍脈石のかけら,1,ユニオン鉱石,3,0,70
アロイメイル,0,2,0,0,0,3,8,40,-2,1,-2,-2,1,水耐性,1,,,,,,,,,マカライト鉱石,3,鉄鉱石,6,大地の結晶,1,,,66,龍脈石のかけら,1,ユニオン鉱石,3,0,80
プケプケメイル,0,2,0,0,0,2,12,44,0,3,-3,0,1,アイテム使用強化,1,,,,,,,,,毒妖鳥の鱗,2,毒妖鳥の甲殻,1,鉄鉱石,3,,,70,龍脈石のかけら,1,ユニオン鉱石,3,0,90
ボロスメイル,0,2,0,0,0,3,14,38,-3,-1,3,-1,0,スタミナ奪取,1,,,,,,,,,土砂竜の甲殻,2,土砂竜の背甲,1,土砂竜の爪,1,強固な岩骨,1,72,龍脈石のかけら,1,ユニオン鉱石,3,0,100
