#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
レザーパンツ,0,1,0,0,0,1,2,38,2,0,0,0,0,,,,,,,,,,,鉄鉱石,1,,,,,,,68,龍脈石のかけら,1,ユニオン鉱石,3,0,10
チェーンパンツ,0,1,0,0,0,1,2,38,0,2,0,0,0,,,,,,,,,,,鉄鉱石,1,,,,,,,68,龍脈石のかけら,1,ユニオン鉱石,3,0,20
ハンターグリーヴ,0,1,0,0,0,1,6,42,2,2,0,0,0,肉焼き名人,1,,,,,,,,,ジャグラスの皮,1,竜骨【小】,1,,,,,72,龍脈石のかけら,1,ユニオン鉱石,3,0,30
ボーングリーヴ,0,1,0,0,0,1,6,42,2,0,2,0,2,昆虫標本の達人,1,,,,,,,,,竜骨【小】,1,太古の大骨,1,,,,,72,龍脈石のかけら,1,ユニオン鉱石,3,0,40
ランゴグリーヴ,0,1,0,0,0,3,8,44,-2,1,1,1,2,ハニーハンター,1,,,,,,,,,ランゴスタの羽,2,モンスターの体液,1,,,,,74,龍脈石のかけら,1,ユニオン鉱石,3,0,50
ガライーブーツ,0,1,0,0,0,3,12,48,0,5,0,0,0,水場・深雪適応,1,,,,,,,,,咬魚の皮,4,咬魚のヒゲ,2,,,,,78,龍脈石のかけら,1,ユニオン鉱石,3,0,60
ジャグラスグリーヴ,0,1,0,0,0,2,8,44,-2,2,-1,-1,1,しゃがみ移動速度ＵＰ,1,,,,,,,,,賊竜の鱗,1,賊竜の皮,1,賊竜のたてがみ,1,ジャグラスの鱗,2,74,龍脈石のかけら,1,ユニオン鉱石,3,0,70
クルルグリーヴ,0,1,0,0,0,2,10,46,0,-3,0,1,0,見切り,1,,,,,,,,,掻鳥の皮,2,掻鳥の鱗,3,翼竜の皮,2,,,76,龍脈石のかけら,1,ユニオン鉱石,3,0,80
アロイグリーヴ,0,2,0,0,0,3,8,40,-2,1,-2,-2,1,砥石使用高速化,1,,,,,,,,,マカライト鉱石,3,鉄鉱石,6,大地の結晶,1,,,66,龍脈石のかけら,1,ユニオン鉱石,3,0,90
プケプケグリーヴ,0,2,0,0,0,3,12,44,0,3,-3,0,1,植生学,1,,,,,,,,,毒妖鳥の甲殻,2,毒妖鳥の喉袋,1,毒妖鳥の鱗,2,竜骨【中】,1,70,龍脈石のかけら,1,ユニオン鉱石,3,0,100
ボロスグリーヴ,0,2,0,0,0,3,14,38,-3,-1,3,-1,0,気絶耐性,1,,,,,,,,,土砂竜の背甲,2,土砂竜の頭殻,1,土砂竜の甲殻,1,肥沃なドロ,2,72,龍脈石のかけら,1,ユニオン鉱石,3,0,110
ジュラグリーヴ,0,2,0,0,0,3,14,46,-1,2,-3,0,0,集中,1,,,,,,,,,泥魚竜の甲殻,3,泥魚竜の牙,2,泥魚竜のヒレ,2,大地の結晶,3,72,龍脈石のかけら,1,ユニオン鉱石,3,0,120
カガチグリーヴ,0,2,0,0,0,4,16,48,0,-3,3,0,0,雷耐性,1,,,,,,,,,飛雷竜の鱗,2,飛雷竜の毛皮,1,暖かい毛皮,1,,,74,龍脈石のかけら,1,ユニオン鉱石,3,0,130
ハイメタグリーヴ,0,3,0,0,0,6,18,46,0,-1,-2,3,0,砲撃手,1,,,,,,,,,ドラグライト鉱石,2,マカライト鉱石,1,鉄鉱石,6,,,70,龍脈石のかけら,1,ユニオン鉱石,3,0,140
オウビートガンバ,1,3,0,0,0,8,22,50,-1,-1,2,0,2,探索者の幸運,1,,,,,,,,,オオツノアゲハ,1,ドラグライト鉱石,2,モンスターの体液,3,麻痺袋,1,74,龍脈石のかけら,1,ユニオン鉱石,3,0,150
