#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
レザーベルト,0,1,0,0,0,1,2,38,2,0,0,0,0,,,,,,,,,,,鉄鉱石,1,,,,,,,68,龍脈石のかけら,1,ユニオン鉱石,3,0,10
チェーンベルト,0,1,0,0,0,1,2,38,0,2,0,0,0,,,,,,,,,,,鉄鉱石,1,,,,,,,68,龍脈石のかけら,1,ユニオン鉱石,3,0,20
ハンターコイル,0,1,0,0,0,1,6,42,2,2,0,0,0,追跡の達人,1,,,,,,,,,ジャグラスの皮,1,竜骨【小】,1,,,,,72,龍脈石のかけら,1,ユニオン鉱石,3,0,30
ボーンコイル,0,1,0,0,0,1,6,42,2,0,2,0,2,笛吹き名人,1,,,,,,,,,竜骨【小】,1,ケストドンの甲殻,1,,,,,72,龍脈石のかけら,1,ユニオン鉱石,3,0,40
ランゴコイル,0,1,0,0,0,3,8,44,-2,1,1,1,2,麻痺耐性,1,,,,,,,,,ランゴスタの甲殻,1,鉄鉱石,4,,,,,74,龍脈石のかけら,1,ユニオン鉱石,3,0,50
ジャグラスコイル,0,1,0,0,0,2,8,44,-2,2,-1,-1,1,不屈,1,,,,,,,,,賊竜の皮,1,賊竜のたてがみ,1,賊竜の鱗,2,とがった爪,2,74,龍脈石のかけら,1,ユニオン鉱石,3,0,60
クルルコイル,0,1,0,0,0,2,10,46,0,-3,0,1,0,アイテム使用強化,1,,,,,,,,,掻鳥の皮,2,掻鳥のクチバシ,1,翼竜の皮,2,,,76,龍脈石のかけら,1,ユニオン鉱石,3,0,70
アロイコイル,0,2,0,0,0,3,8,40,-2,1,-2,-2,1,毒耐性,1,,,,,,,,,マカライト鉱石,4,鉄鉱石,4,大地の結晶,2,,,66,龍脈石のかけら,1,ユニオン鉱石,3,0,80
プケプケコイル,0,2,0,0,0,2,12,44,0,3,-3,0,1,毒属性強化,1,,,,,,,,,毒妖鳥の甲殻,3,毒妖鳥の尻尾,1,毒妖鳥の喉袋,1,毒袋,1,70,龍脈石のかけら,1,ユニオン鉱石,3,0,90
ボロスコイル,0,2,0,0,0,3,14,38,-3,-1,3,-1,0,泥耐性,1,,,,,,,,,土砂竜の甲殻,2,土砂竜の背甲,1,肥沃なドロ,2,,,72,龍脈石のかけら,1,ユニオン鉱石,3,0,100
ジュラコイル,0,2,0,0,0,3,14,46,-1,2,-3,0,0,氷耐性,1,,,,,,,,,泥魚竜の鱗,2,泥魚竜の甲殻,1,水袋,1,,,72,龍脈石のかけら,1,ユニオン鉱石,3,0,110
カガチコイル,0,2,0,0,0,4,16,48,0,-3,3,0,0,雷属性攻撃強化,1,,,,,,,,,飛雷竜の鱗,2,飛雷竜の毛皮,1,電気袋,1,,,74,龍脈石のかけら,1,ユニオン鉱石,3,0,120
ハイメタコイル,0,3,0,0,0,6,18,46,0,-1,-2,3,0,砲弾装填数ＵＰ,1,,,,,,,,,ドラグライト鉱石,2,マカライト鉱石,1,鉄鉱石,6,,,70,龍脈石のかけら,1,ユニオン鉱石,3,0,130
オウビートアンカ,1,3,0,0,0,4,22,50,-1,-1,2,0,2,ハニーハンター,1,,,,,,,,,オオツノアゲハ,1,大地の結晶,2,モンスターの体液,1,電気袋,1,74,龍脈石のかけら,1,ユニオン鉱石,3,0,140
パピメルアンカ,2,3,0,0,0,4,22,50,-1,-1,2,0,2,ハニーハンター,1,,,,,,,,,オオツノアゲハ,1,大地の結晶,2,モンスターの体液,1,電気袋,1,74,龍脈石のかけら,1,ユニオン鉱石,3,0,150
タロスコイル,0,3,0,0,0,8,18,46,-1,-1,0,0,2,剥ぎ取り鉄人,1,,,,,,,,,カンタロスの羽,1,カンタロスの甲殻,1,鉄鉱石,3,マカライト鉱石,1,70,龍脈石のかけら,1,ユニオン鉱石,3,0,160
ジャナフコイル,0,3,0,0,0,4,20,48,3,-3,-1,-1,0,火耐性,1,蛮顎竜の力,1,,,,,,,蛮顎竜の鱗,2,蛮顎竜の毛皮,1,蛮顎竜の牙,2,マカライト鉱石,2,72,龍脈石のかけら,1,ユニオン鉱石,3,0,170
レイアコイル,0,3,0,0,0,5,22,50,2,0,-2,0,-3,毒耐性,1,,,,,,,,,雌火竜の鱗,2,雌火竜の甲殻,1,火竜の翼爪,2,強固な岩骨,2,74,龍脈石のかけら,1,ユニオン鉱石,3,0,180
ツィツィコイル,0,3,0,0,0,6,18,46,0,0,-3,-2,0,広域化,1,,,,,,,,,眩鳥の皮,2,眩鳥の爪,2,深海の結晶,2,,,70,龍脈石のかけら,1,ユニオン鉱石,3,0,190
ウルムーコイル,0,3,0,0,0,6,20,48,-3,2,0,1,0,精霊の加護,1,,,,,,,,,浮空竜の毛皮,2,浮空竜の鱗,1,ゴム質の甲殻,1,,,72,龍脈石のかけら,1,ユニオン鉱石,3,0,200
ギルオスコイル,0,3,0,0,0,8,20,48,0,-3,2,0,1,瘴気環境適応,1,,,,,,,,,痺賊竜の皮,2,痺賊竜の尻尾,1,痺賊竜の頭巾殻,1,ギルオスの皮,3,72,龍脈石のかけら,1,ユニオン鉱石,3,0,210
バルキンコイル,0,3,0,0,0,8,24,52,0,2,0,-1,-2,ガード性能,1,,,,,,,,,骨鎚竜の鱗,2,骨鎚竜の黒油殻,1,睡眠袋,1,竜骨【大】,3,76,龍脈石のかけら,1,ユニオン鉱石,3,0,220
インゴットコイル,0,4,0,0,0,8,28,52,-2,0,3,-1,0,風圧耐性,1,,,,,,,,,ドラグライト鉱石,3,上竜骨,1,深海の結晶,3,ライトクリスタル,1,72,龍脈石のかけら,1,ユニオン鉱石,3,0,230
デスギアナーベル,0,4,0,0,0,8,32,56,3,2,-2,3,-4,龍属性攻撃強化,1,,,,,,,,,禍々しい布,1,いびつな狂骨,1,頑丈な骨,2,モンスターの体液,2,76,龍脈石のかけら,1,ユニオン鉱石,3,0,240
ブリゲイドコイル,0,4,0,0,0,8,28,52,1,0,2,0,2,地質学,1,,,,,,,,,闘技王のコイン,2,プケプケコイン,2,クルルコイン,2,勇気の証,1,72,龍脈石のかけら,1,ユニオン鉱石,3,0,250
ギエナコイル,0,4,0,0,0,8,30,54,-1,2,-3,3,0,氷属性攻撃強化,1,風漂竜の恩恵,1,,,,,,,風漂竜の皮,2,風漂竜の鱗,2,氷結袋,1,シャムオスの皮,2,74,龍脈石のかけら,1,ユニオン鉱石,3,0,260
ガロンコイル,0,4,0,0,0,8,30,54,2,2,-2,-3,0,見切り,1,惨爪竜の力,1,,,,,,,惨爪竜の硬筋,3,惨爪竜の爪,2,惨爪竜の牙,2,惨爪竜の逆鱗,1,74,龍脈石のかけら,1,ユニオン鉱石,3,0,270
レウスコイル,0,4,0,0,0,8,30,54,3,1,-2,1,-3,火属性攻撃強化,1,火竜の力,1,,,,,,,火竜の鱗,2,火竜の甲殻,2,火竜の翼膜,1,上竜骨,3,74,龍脈石のかけら,1,ユニオン鉱石,3,0,280
ディアブロコイル,0,4,0,0,0,8,32,56,3,-2,0,-3,2,ランナー,1,角竜の力,1,,,,,,,角竜の甲殻,2,角竜の背甲,1,角竜の牙,1,竜骨【大】,2,76,龍脈石のかけら,1,ユニオン鉱石,3,0,290
キリンフープ,0,4,0,0,0,8,34,58,-3,-2,4,-2,2,雷属性攻撃強化,1,幻獣の恩恵,1,,,,,,,幻獣の皮,2,幻獣の雷角,1,幻獣の尾,1,電気袋,1,78,龍脈石のかけら,1,ユニオン鉱石,3,0,300
ブロッサムコート,0,3,0,0,0,3,18,46,1,1,4,1,1,導蟲反応距離ＵＰ,1,,,,,,,,,開花チケット,1,大地の結晶,1,,,,,70,龍脈石のかけら,1,ユニオン鉱石,3,0,310
ダイバーベルト,0,3,0,0,0,3,22,50,1,4,1,1,1,水場・深雪適応,1,,,,,,,,,納涼チケット,1,深海の結晶,1,,,,,74,龍脈石のかけら,1,ユニオン鉱石,3,0,320
ハーベストオッハ,0,3,0,0,0,6,26,54,4,1,1,1,1,体術,1,,,,,,,,,豊穣チケット,1,頑丈な骨,1,,,,,78,龍脈石のかけら,1,ユニオン鉱石,3,0,330
オリオンコート,0,4,0,0,0,8,30,54,1,1,1,4,1,体力増強,1,,,,,,,,,煌めきチケット,1,上竜骨,1,,,,,74,龍脈石のかけら,1,ユニオン鉱石,3,0,340
フルドレスコート,0,4,0,0,0,8,34,58,1,1,1,1,4,スリンガー装填数ＵＰ,1,アステラの祝福,1,,,,,,,感謝チケット,1,上竜骨,1,,,,,78,龍脈石のかけら,1,ユニオン鉱石,3,0,350
パピオムアンカ,1,3,0,0,0,4,22,50,-1,-1,2,0,2,防御,1,,,,,,,,,昆虫図鑑【春】,1,オオツノアゲハ,1,ランゴスタの羽,1,モンスターの体液,1,74,龍脈石のかけら,1,ユニオン鉱石,3,0,360
クインビートアンカ,2,3,0,0,0,4,22,50,-1,-1,2,0,2,防御,1,,,,,,,,,昆虫図鑑【春】,1,オオツノアゲハ,1,ランゴスタの羽,1,モンスターの体液,1,74,龍脈石のかけら,1,ユニオン鉱石,3,0,370
レザーベルトα,0,5,0,0,0,11,32,54,2,0,0,0,0,スタミナ急速回復,1,,,,,,,,,カブレライト鉱石,2,上質な毛皮,1,,,,,70,龍脈石のかけら,1,いにしえの龍骨,1,0,380
レザーベルトβ,0,5,1,0,0,11,32,54,2,0,0,0,0,,,,,,,,,,,カブレライト鉱石,2,上質な毛皮,1,,,,,70,龍脈石のかけら,1,いにしえの龍骨,1,0,390
チェーンベルトα,0,5,0,0,0,11,32,54,0,2,0,0,0,納刀術,1,,,,,,,,,カブレライト鉱石,2,ドラグライト鉱石,2,,,,,70,龍脈石のかけら,1,いにしえの龍骨,1,0,400
チェーンベルトβ,0,5,1,0,0,11,32,54,0,2,0,0,0,,,,,,,,,,,カブレライト鉱石,2,ドラグライト鉱石,2,,,,,70,龍脈石のかけら,1,いにしえの龍骨,1,0,410
ハンターコイルα,0,5,0,0,0,11,36,58,2,2,0,0,0,採集の達人,1,潜伏,1,,,,,,,ジャグラスの上皮,2,上質な堅骨,3,,,,,74,龍脈石のかけら,1,いにしえの龍骨,1,0,420
ハンターコイルβ,0,5,1,0,0,11,36,58,2,2,0,0,0,採集の達人,1,,,,,,,,,ジャグラスの上皮,2,上質な堅骨,3,,,,,74,龍脈石のかけら,1,いにしえの龍骨,1,0,430
ボーンコイルα,0,5,0,0,0,11,36,58,2,0,2,0,2,笛吹き名人,1,釣り名人,1,,,,,,,上質な堅骨,2,上竜骨,2,太古の大骨,3,,,74,龍脈石のかけら,1,いにしえの龍骨,1,0,440
ボーンコイルβ,0,5,1,0,0,11,36,58,2,0,2,0,2,笛吹き名人,1,,,,,,,,,上質な堅骨,2,上竜骨,2,太古の大骨,3,,,74,龍脈石のかけら,1,いにしえの龍骨,1,0,450
アロイコイルα,0,5,0,0,0,11,36,58,-2,0,-2,-2,0,毒耐性,1,水耐性,1,,,,,,,カブレライト鉱石,3,ドラグライト鉱石,6,龍脈の結晶,3,マカライト鉱石,5,74,龍脈石のかけら,1,いにしえの龍骨,1,0,460
アロイコイルβ,0,5,1,0,0,11,36,58,-2,0,-2,-2,0,毒耐性,1,,,,,,,,,カブレライト鉱石,3,ドラグライト鉱石,6,龍脈の結晶,3,マカライト鉱石,5,74,龍脈石のかけら,1,いにしえの龍骨,1,0,470
オウビートアンカα,1,5,1,0,0,11,42,64,-1,-1,2,0,2,ハニーハンター,1,納刀術,1,,,,,,,オオツノアゲハ,1,龍脈の結晶,2,ランゴスタの堅殻,3,電撃袋,2,80,龍脈石のかけら,1,いにしえの龍骨,1,0,480
オウビートアンカβ,1,5,2,1,0,11,42,64,-1,-1,2,0,2,ハニーハンター,1,,,,,,,,,オオツノアゲハ,1,龍脈の結晶,2,ランゴスタの堅殻,3,電撃袋,2,80,龍脈石のかけら,1,いにしえの龍骨,1,0,490
パピメルアンカα,2,5,1,0,0,11,42,64,-1,-1,2,0,2,ハニーハンター,1,納刀術,1,,,,,,,オオツノアゲハ,1,龍脈の結晶,2,ランゴスタの堅殻,3,電撃袋,2,80,龍脈石のかけら,1,いにしえの龍骨,1,0,500
パピメルアンカβ,2,5,2,1,0,11,42,64,-1,-1,2,0,2,ハニーハンター,1,,,,,,,,,オオツノアゲハ,1,龍脈の結晶,2,ランゴスタの堅殻,3,電撃袋,2,80,龍脈石のかけら,1,いにしえの龍骨,1,0,510
ランゴコイルα,0,5,0,0,0,11,38,60,-2,1,1,1,2,麻痺耐性,2,,,,,,,,,ランゴスタの堅殻,3,ランゴスタの薄羽,2,尖竜骨,2,,,76,龍脈石のかけら,1,いにしえの龍骨,1,0,520
ランゴコイルβ,0,5,1,0,0,11,38,60,-2,1,1,1,2,麻痺耐性,1,,,,,,,,,ランゴスタの堅殻,3,ランゴスタの薄羽,2,尖竜骨,2,,,76,龍脈石のかけら,1,いにしえの龍骨,1,0,530
タロスコイルα,0,5,0,0,0,11,38,60,-1,-1,0,0,2,剥ぎ取り鉄人,1,腹減り耐性,1,,,,,,,カンタロスの堅殻,3,カンタロスの薄羽,2,モンスターの濃汁,2,,,76,龍脈石のかけら,1,いにしえの龍骨,1,0,540
タロスコイルβ,0,5,1,0,0,11,38,60,-1,-1,0,0,2,剥ぎ取り鉄人,1,,,,,,,,,カンタロスの堅殻,3,カンタロスの薄羽,2,モンスターの濃汁,2,,,76,龍脈石のかけら,1,いにしえの龍骨,1,0,550
ジャグラスコイルα,0,5,0,0,0,11,40,62,-2,2,-1,-1,1,不屈,1,早食い,1,,,,,,,賊竜の上皮,3,賊竜のたてがみ,3,賊竜の上鱗,4,ジャグラスの上鱗,3,78,龍脈石のかけら,1,いにしえの龍骨,1,0,560
ジャグラスコイルβ,0,5,1,0,0,11,40,62,-2,2,-1,-1,1,不屈,1,,,,,,,,,賊竜の上皮,3,賊竜のたてがみ,3,賊竜の上鱗,4,ジャグラスの上鱗,3,78,龍脈石のかけら,1,いにしえの龍骨,1,0,570
クルルコイルα,0,5,0,0,0,11,40,62,0,-3,0,1,0,アイテム使用強化,2,,,,,,,,,掻鳥の上皮,4,掻鳥の大クチバシ,2,翼竜の上皮,3,大地の結晶,2,78,龍脈石のかけら,1,いにしえの龍骨,1,0,580
クルルコイルβ,0,5,2,0,0,11,40,62,0,-3,0,1,0,アイテム使用強化,1,,,,,,,,,掻鳥の上皮,4,掻鳥の大クチバシ,2,翼竜の上皮,3,大地の結晶,2,78,龍脈石のかけら,1,いにしえの龍骨,1,0,590
ツィツィコイルα,0,5,0,0,0,11,40,62,0,0,-3,-2,0,広域化,2,水属性攻撃強化,1,,,,,,,眩鳥の上皮,2,眩鳥の尖爪,4,龍脈の結晶,3,ライトクリスタル,2,78,龍脈石のかけら,1,いにしえの龍骨,1,0,600
ツィツィコイルβ,0,5,2,0,0,11,40,62,0,0,-3,-2,0,広域化,1,,,,,,,,,眩鳥の上皮,2,眩鳥の尖爪,4,龍脈の結晶,3,ライトクリスタル,2,78,龍脈石のかけら,1,いにしえの龍骨,1,0,610
ギルオスコイルα,0,5,0,0,0,11,40,62,0,-3,2,0,1,瘴気環境適応,1,麻痺属性強化,1,,,,,,,痺賊竜の上皮,4,痺賊竜の尻尾,2,痺賊竜の大頭巾,2,ギルオスの上皮,4,78,龍脈石のかけら,1,いにしえの龍骨,1,0,620
ギルオスコイルβ,0,5,1,0,0,11,40,62,0,-3,2,0,1,瘴気環境適応,1,,,,,,,,,痺賊竜の上皮,4,痺賊竜の尻尾,2,痺賊竜の大頭巾,2,ギルオスの上皮,4,78,龍脈石のかけら,1,いにしえの龍骨,1,0,630
プケプケコイルα,0,5,0,0,0,11,42,64,0,3,-3,0,1,毒属性強化,2,,,,,,,,,毒妖鳥の堅殻,4,毒妖鳥の翼,2,毒妖鳥の大喉袋,2,鳥竜玉,1,80,龍脈石のかけら,1,いにしえの龍骨,1,0,640
