x1536 耐毒の護石Ⅰ
x1537 耐毒の護石Ⅱ
x1538 耐毒の護石Ⅲ
x1539 攻撃の護石Ⅰ
x1540 攻撃の護石Ⅱ
x1541 攻撃の護石Ⅲ
x1542 防御の護石Ⅰ
x1543 防御の護石Ⅱ
x1544 防御の護石Ⅲ
x1545 耐痺の護石Ⅰ
x1546 耐痺の護石Ⅱ
x1547 耐痺の護石Ⅲ
x1548 耐眠の護石Ⅰ
x1549 耐眠の護石Ⅱ
x1550 耐眠の護石Ⅲ
x1551 耐絶の護石Ⅰ
x1552 耐絶の護石Ⅱ
x1553 耐絶の護石Ⅲ
x1554 防風の護石Ⅰ
x1555 防風の護石Ⅱ
x1556 防風の護石Ⅲ
x1557 体力の護石Ⅰ
x1558 体力の護石Ⅱ
x1559 体力の護石Ⅲ
x1560 治癒の護石Ⅰ
x1561 治癒の護石Ⅱ
x1562 治癒の護石Ⅲ
x1563 耐火の護石Ⅰ
x1564 耐火の護石Ⅱ
x1565 耐火の護石Ⅲ
x1566 耐水の護石Ⅰ
x1567 耐水の護石Ⅱ
x1568 耐水の護石Ⅲ
x1569 耐雷の護石Ⅰ
x1570 耐雷の護石Ⅱ
x1571 耐雷の護石Ⅲ
x1572 火炎の護石Ⅰ
x1573 火炎の護石Ⅱ
x1574 火炎の護石Ⅲ
x1575 流水の護石Ⅰ
x1576 流水の護石Ⅱ
x1577 流水の護石Ⅲ
x1578 雷光の護石Ⅰ
x1579 雷光の護石Ⅱ
x1580 雷光の護石Ⅲ
x1581 毒撃の護石Ⅰ
x1582 毒撃の護石Ⅱ
x1583 毒撃の護石Ⅲ
x1584 痺撃の護石Ⅰ
x1585 痺撃の護石Ⅱ
x1586 痺撃の護石Ⅲ
x1587 睡撃の護石Ⅰ
x1588 睡撃の護石Ⅱ
x1589 睡撃の護石Ⅲ
x1590 ＫＯの護石Ⅰ
x1591 ＫＯの護石Ⅱ
x1592 ＫＯの護石Ⅲ
x1593 奪気の護石Ⅰ
x1594 奪気の護石Ⅱ
x1595 奪気の護石Ⅲ
x1596 砲術の護石Ⅰ
x1597 砲術の護石Ⅱ
x1598 砲術の護石Ⅲ
x1599 無食の護石Ⅰ
x1600 無食の護石Ⅱ
x1601 無食の護石Ⅲ
x1602 鉄壁の護石Ⅰ
x1603 鉄壁の護石Ⅱ
x1604 鉄壁の護石Ⅲ
x1605 友愛の護石Ⅰ
x1606 友愛の護石Ⅱ
x1607 友愛の護石Ⅲ
x1608 持続の護石Ⅰ
x1609 持続の護石Ⅱ
x1610 持続の護石Ⅲ
x1611 早食の護石Ⅰ
x1612 早食の護石Ⅱ
x1613 早食の護石Ⅲ
x1614 加護の護石Ⅰ
x1615 加護の護石Ⅱ
x1616 加護の護石Ⅲ
x1617 采配の護石Ⅰ
x1618 采配の護石Ⅱ
x1619 采配の護石Ⅲ
x1620 植学の護石Ⅰ
x1621 植学の護石Ⅱ
x1622 植学の護石Ⅲ
x1623 地学の護石Ⅰ
x1624 地学の護石Ⅱ
x1625 地学の護石Ⅲ
x1626 投石の護石Ⅰ
x1627 投石の護石Ⅱ
x1628 投石の護石Ⅲ
x1629 潜伏の護石Ⅰ
x1630 潜伏の護石Ⅱ
x1631 潜伏の護石Ⅲ
x1632 環境の護石Ⅰ
x1633 環境の護石Ⅱ
x1634 環境の護石Ⅲ
x1635 沼渡りの護石Ⅰ
x1636 沼渡りの護石Ⅱ
x1637 沼渡りの護石Ⅲ
x1638 昆虫学の護石Ⅰ
x1639 昆虫学の護石Ⅱ
x1640 昆虫学の護石Ⅲ
x1641 威嚇の護石Ⅰ
x1642 威嚇の護石Ⅱ
x1643 威嚇の護石Ⅲ
x1644 砲撃手の護石Ⅰ
x1645 砲撃手の護石Ⅱ
x1646 小食の護石
x1647 追跡の護石
x1648 不屈の護石
x1649 笛吹きの護石
x1650 装填の護石
x1651 耐裂の護石Ⅰ
x1652 耐裂の護石Ⅱ
x1653 耐裂の護石Ⅲ
x1654 早復の護石Ⅰ
x1655 早復の護石Ⅱ
x1656 早復の護石Ⅲ
x1657 耐氷の護石Ⅰ
x1658 耐氷の護石Ⅱ
x1659 耐氷の護石Ⅲ
x1660 耐属の護石Ⅰ
x1661 耐属の護石Ⅱ
x1662 耐属の護石Ⅲ
x1663 氷結の護石Ⅰ
x1664 氷結の護石Ⅱ
x1665 氷結の護石Ⅲ
x1666 達人の護石Ⅰ
x1667 達人の護石Ⅱ
x1668 達人の護石Ⅲ
x1669 回避の護石Ⅰ
