x1770 防音珠【３】
x1771 毒瓶珠【３】
x1772 痺瓶珠【３】
x1773 眠瓶珠【３】
x1774 爆瓶珠【３】
x1775 解放珠【３】
x1776 匠珠【３】
x1777 耐衝珠【３】
x1778 強弾珠【３】
x1779 貫通珠【３】
x1780 散弾珠【３】
x1781 龍封珠【３】
x1782 防風珠【２】
x1783 耐震珠【２】
x1784 超心珠【２】
x1785 痛撃珠【２】
x1786 短縮珠【２】
x1787 抜刀珠【２】
x1788 重撃珠【２】
x1789 ＫＯ珠【２】
x1790 飛燕珠【２】
x1791 全開珠【２】
x1792 挑戦珠【２】
x1793 無傷珠【２】
x1794 底力珠【２】
x1795 逆上珠【２】
x1796 増弾珠【２】
x1797 強走珠【２】
x1798 体術珠【２】
x1799 早気珠【２】
x1800 回避珠【２】
x1801 跳躍珠【２】
x1802 渾身珠【２】
x1803 滑走珠【２】
x1804 昂揚珠【２】
x1805 強弓珠【２】
x1806 剛刃珠【２】
x1807 心眼珠【２】
x1808 強壁珠【２】
x1809 無撃珠【２】
x1810 耐毒珠【１】
x1811 耐麻珠【１】
x1812 耐眠珠【１】
x1813 耐絶珠【１】
x1814 耐爆珠【１】
x1815 耐裂珠【１】
x1816 耐防珠【１】
x1817 攻撃珠【１】
x1818 防御珠【１】
x1819 体力珠【１】
x1820 早復珠【１】
x1821 耐火珠【１】
x1822 耐水珠【１】
x1823 耐氷珠【１】
x1824 耐雷珠【１】
x1825 耐龍珠【１】
x1826 耐属珠【１】
x1827 火炎珠【１】
x1828 流水珠【１】
x1829 氷結珠【１】
x1830 雷光珠【１】
x1831 破龍珠【１】
x1832 毒珠【１】
x1833 麻痺珠【１】
x1834 睡眠珠【１】
x1835 爆破珠【１】
x1836 達人珠【１】
x1837 奪気珠【１】
x1838 逆境珠【１】
x1839 鼓笛珠【１】
x1840 特射珠【１】
x1841 砲術珠【１】
x1842 砲手珠【１】
x1843 無食珠【１】
x1844 鉄壁珠【１】
x1845 速納珠【１】
x1846 友愛珠【１】
x1847 持続珠【１】
x1848 節食珠【１】
x1849 早食珠【１】
x1850 研磨珠【１】
x1851 爆師珠【１】
x1852 茸好珠【１】
x1853 加護珠【１】
x1854 采配珠【１】
x1855 植学珠【１】
x1856 地学珠【１】
x1857 投石珠【１】
x1858 潜伏珠【１】
x1859 環境珠【１】
x1860 沼渡珠【１】
x1861 標本珠【１】
x1862 嗅覚珠【１】
x1863 威嚇珠【１】
x1864 治癒珠【１】
x1865 窮地珠【１】
x1866 整備珠【１】
x1867 耐瘴珠【１】
x1868 耐暑珠【２】
x1869 守勢珠【２】
x1870 耐寒珠【２】
x1871 転福珠【３】
x1872 耐火珠Ⅱ【４】
x1873 耐水珠Ⅱ【４】
x1874 耐氷珠Ⅱ【４】
x1875 耐雷珠Ⅱ【４】
x1876 耐龍珠Ⅱ【４】
x1877 火炎珠Ⅱ【４】
x1878 流水珠Ⅱ【４】
x1879 氷結珠Ⅱ【４】
x1880 雷光珠Ⅱ【４】
x1881 破龍珠Ⅱ【４】
x1882 毒珠Ⅱ【４】
x1883 麻痺珠Ⅱ【４】
x1884 睡眠珠Ⅱ【４】
x1885 爆破珠Ⅱ【４】
x1886 耐火珠Ⅲ【４】
x1887 耐水珠Ⅲ【４】
x1888 耐氷珠Ⅲ【４】
x1889 耐雷珠Ⅲ【４】
x1890 耐龍珠Ⅲ【４】
x1891 耐毒珠Ⅱ【４】
x1892 耐麻珠Ⅱ【４】
x1893 耐眠珠Ⅱ【４】
x1894 耐絶珠Ⅱ【４】
x1895 耐爆珠Ⅱ【４】
x1896 耐裂珠Ⅱ【４】
x1897 耐防珠Ⅱ【４】
x1898 耐瘴珠Ⅱ【４】
x1899 無食珠Ⅱ【４】
x1900 早復珠Ⅱ【４】
x1901 潜伏珠Ⅱ【４】
x1902 威嚇珠Ⅱ【４】
x1903 采配珠Ⅱ【４】
x1904 潜伏珠Ⅲ【４】
x1905 威嚇珠Ⅲ【４】
x1906 采配珠Ⅲ【４】
x1907 特射珠Ⅱ【４】
x1908 砲手珠Ⅱ【４】
x1909 植学珠Ⅱ【４】
x1910 地学珠Ⅱ【４】
x1911 環境珠Ⅱ【４】
x1912 沼渡珠Ⅱ【４】
x1913 標本珠Ⅱ【４】
x1914 鼓笛珠Ⅱ【４】
x1915 植学珠Ⅳ【４】
x1916 地学珠Ⅲ【４】
x1917 環境珠Ⅲ【４】
x1918 標本珠Ⅲ【４】
x1919 持続珠Ⅱ【４】
x1920 防御珠Ⅱ【４】
x1921 持続珠Ⅲ【４】
x1922 防御珠Ⅲ【４】
x1923 砲術珠Ⅱ【４】
x1924 防音珠Ⅱ【４】
x1925 防風珠Ⅱ【４】
x1926 攻撃珠Ⅱ【４】
x1927 達人珠Ⅱ【４】
x1928 匠珠Ⅱ【４】
x1929 全開珠Ⅱ【４】
x1930 挑戦珠Ⅱ【４】
x1931 底力珠Ⅱ【４】
x1932 逆上珠Ⅱ【４】
x1933 体術珠Ⅱ【４】
x1934 回避珠Ⅱ【４】
x1935 鉄壁珠Ⅱ【４】
